# Credits to https://github.com/JeffSackmann/tennis_wta
Id,First Name,Last Name,Country
200359,Christiane,Jolissaint,SUI
200360,Pam,Shriver,USA
200361,Marie,Pinterova,HUN
200362,Liz,Smylie,AUS
200363,Hana,Strachonova,SUI
200364,Barbara,Hallquist,USA
200365,Tanya,Harford,RSA
200366,Sylvia,Hanika,GER
200367,Nanette,Schutte,NED
200368,Miranda,Yates,AUS
200369,Candy,Reynolds,USA
200370,Marie Christine,Calleja,FRA
200371,Mima,Jausovec,SLO
200372,Bettina,Bunge,GER
200373,Bonnie,Gadusek,USA
200374,Helga,Lutten,GER
200375,Barbara,Potter,USA
200376,Katerina,Bohmova,CZE
200377,Helena,Sukova,CZE
200378,Anne,Smith,USA
200379,Paula,Smith,USA
200380,Nancy,Yeargin,USA
200381,Andrea,Jaeger,USA
200382,Isabelle,Villiger,SUI
200383,Anne,Hobbs,GBR
200384,Eva,Pfaff,GER
200385,Brenda,Remilton,AUS
200386,Corinne,Vanier,FRA
200387,Anne,White,USA
200388,Leslie,Allen,USA
200389,Kathy,Jordan,USA
200390,Mary Lou,Daniels,USA
200391,Sherry,Acker,USA
200392,Jo,Durie,GBR
200393,Lea,Antonoplis,USA
200394,Marjorie,Blackwood,CAN
200395,Catherine,Tanvier,FRA
200396,Kim,Steinmetz,USA
200397,Tracy,Austin,USA
200398,Iva,Budarova,TCH
200399,Jennifer,Mundel,RSA
200400,Kate,Latham,USA
200401,Manuela,Maleeva Fragniere,SUI
200402,Wendy,Prausa,USA
200403,Andrea,Leand,USA
200404,Zina,Garrison,USA
200405,Susan,Mascarin,USA
200406,Claudia,Monteiro,BRA
200407,Camille,Benjamin,USA
200408,Alycia,Moulton,USA
200409,Petra,Delhees Jauch,SUI
200410,Yvonne,Vermaak,RSA
200411,Jane,Preyer,USA
200412,Vicki,Nelson Dunbar,USA
200413,Heather,Ludloff,USA
200414,Steffi,Graf,GER
200415,Catherine,Suire,FRA
200416,Robin,White,USA
200417,Gigi,Fernandez,USA
200418,Amanda,Brown,GBR
200419,Kathy,Rinaldi Stunkel,USA
200420,Anna Maria,Fernandez,USA
200421,Pascale,Paradis Mangon,FRA
200422,Raffaella,Reggi Concato,ITA
200423,Carling,Bassett Seguso,CAN
200424,Etsuko,Inoue,JPN
200425,Sophie,Amiach,FRA
200426,Kim,Staunton,AUS
200427,Beth,Herr,USA
200428,Lori,Mcneil,USA
200429,Elizabeth,Minter,AUS
200430,Marcela,Skuherska,TCH
200431,Lilian,Kelaidis,SUI
200432,Laura,Bernstein,USA
200433,Kim,Jones Shaefer,USA
200434,Shelley,Solomon,USA
200435,Barbara,Gerken,USA
200436,Carina,Karlsson,SWE
200437,Annabel,Croft,GBR
200438,Michaela,Washington,USA
200439,Jenny,Byrne,AUS
200440,Shawn,Foltz,USA
200441,Louise,Field,AUS
200442,Andrea,Temesvari,HUN
200443,Sara,Gomer,GBR
200444,Elise,Burgin,USA
200445,Svetlana,Cherneva,RUS
200446,Colleen,Carney,AUS
200447,Adriana,Villagran Reami,ARG
200448,Sandy,Collins,USA
200449,Petra,Keppeler,GER
200450,Larisa,Savchenko,URS
200451,Beverly,Mould,RSA
200452,Tine,Scheuer Larsen,DEN
200453,Catarina,Lindqvist Ryan,SWE
200454,Myriam,Schropp,GER
200455,Katerina,Maleeva,BUL
200456,Masako,Yanagi,JPN
200457,Andrea,Holikova,TCH
200458,Rebecca,Bryant,AUS
200459,Linda,Gates,USA
200460,Regina,Marsikova,CZE
200461,Lisa,Spain Short,USA
200462,Belinda,Cordwell,NZL
200463,Terry,Holladay,USA
200464,Ann,Henricksson,USA
200465,Lisa,Bonder Kreiss,USA
200466,Molly,Van Nostrand,USA
200467,Janine,Tremelling,AUS
200468,Hu,Na,USA
200469,Nicole,Bradtke,AUS
200470,Dee Ann,Hansel,USA
200471,Jamie,Golder,USA
200472,Helen,Kelesi,CAN
200473,Beverly,Bowes Hackney,USA
200474,Louise,Allen,USA
200475,Lisa,Oneill,AUS
200476,Cammy,Macgregor,USA
200477,Susan,Rimes,USA
200478,Caryn,Copeland Wilson,USA
200479,Emiko,Okagawa,JPN
200480,Claudia,Porwik,GER
200481,Elna,Reinach,RSA
200482,Judith,Wiesner,AUT
200483,Kumiko,Okamoto,JPN
200484,Ann,Devries,BEL
200485,Manon,Bollegraf,NED
200486,Csilla,Cserepy,SUI
200487,Eva,Krapl,SUI
200488,Alison,Scott,AUS
200489,Yukie,Koizumi,JPN
200490,Michaela,Pazderova,TCH
200491,Christina,Singer,GER
200492,Tina,Mochizuki,USA
200493,Marianne,Van Der Torre,NED
200494,Dianne,Van Rensburg,RSA
200495,Akiko,Kijimuta,JPN
200496,Terry,Phelps,USA
200497,Patricia,Hy Boulais,CAN
200498,Michelle,Jaggard Lai,AUS
200499,Sally,Mccann,AUS
200500,Pilar,Vasquez,PER
200501,Marianne,Werdel Witmeyer,USA
200502,Andrea,Betzner,GER
200503,Gretchen,Magers,USA
200504,Julie,Salmon,GBR
200505,Michelle,Bowrey,AUS
200506,Wiltrud,Probst,GER
200507,Kathrin,Keil,USA
200508,Virginie,Paquet,FRA
200509,Michelle,Turk,AUS
200510,Julie,Richardson,NZL
200511,Amy,Jonsson Raaholt,NOR
200512,Clare,Thompson,AUS
200513,Pamela,Jung,USA
200514,Monique,Javer,GBR
200515,Lindsay,Bartlett,USA
200516,Jennifer,Fuchs,USA
200517,Xanthe,Adams,AUS
200518,Paulette,Moreno,HKG
200519,Sybille,Niox Chateau,FRA
200520,Sarah,Loosemore,GBR
200521,Hellas,Ter Riet,NED
200522,Nicole,Krijger Jagerman,NED
200523,Olga,Tsarbopoulou,GRE
200524,Karen,Deed,AUS
200525,Jennifer,Goodling,USA
200526,Carol,Christian,USA
200527,Maria Christine,Damas,FRA
200528,Katie,Rickett,GBR
200529,Jill,Smoller,USA
200530,Radomira,Zrubakova,SVK
200531,Elizabeth,Galphin,USA
200532,Maider,Laval,FRA
200533,Pam,Casale Telford,USA
200534,Melissa,Brown,USA
200535,Jo Anne,Faull,AUS
200536,Stephanie,Faulkner,AUS
200537,Cynthia,Macgregor,USA
200538,Akemi,Nishiya,JPN
200539,Jana,Novotna,CZE
200540,Amy,Schwartz,USA
200541,Sherri,Norris,USA
200542,Clare,Wood,GBR
200543,Jill,Hetherington,CAN
200544,Celine,Cohen,SUI
200545,Ei,Iida,JPN
200546,Stephanie,Savides,USA
200547,Sandra,Wasserman,BEL
200548,Patty,Fendick,USA
200549,Penny,Barg Mager,USA
200550,Emmanuelle,Derly,FRA
200551,Teresa,Edgar,GBR
200552,Maria,Lindstrom,SWE
200553,Carin,Bakkum,NED
200554,Brenda,Schultz Mccarthy,NED
200555,Valda,Lake,GBR
200556,Wendy,Wood,USA
200557,Katrina,Adams,USA
200558,Leigh Anne,Eldredge,USA
200559,Kristine,Kunce,AUS
200560,Rene,Collins,CAN
200561,Cathy,Caverzasio,SUI
200562,Martina,Pawlik,GER
200563,Jane,Taylor,AUS
200564,Hester,Witvoet,NED
200565,Nathalie,Guerree Spitzer,FRA
200566,Donna,Faber,USA
200567,Jennifer,Santrock,USA
200568,Andrea,Farley,USA
200569,Petra,Pichalova Langrova,TCH
200570,Veronika,Martinek,GER
200571,Jonna,Jonerup,SWE
200572,Gabriela,Sabatini,ARG
200573,Cecilia,Dahlman,SWE
200574,Eva,Sviglerova,CZE
200575,Anna,Ivan,USA
200576,Nathalie,Herreman,FRA
200577,Louise,Stacey,AUS
200578,Rennae,Stubbs,AUS
200579,Karin,Kschwendt,AUT
200580,Kimberly,Kessaris,USA
200581,Tamaka,Takagi,JPN
200582,Maria,Strandlund Tomsvik,SWE
200583,Laxmi,Poruri,USA
200584,Laura,Golarsa,ITA
200585,Kathy,Horvath,USA
200586,Federica,Bonsignori,ITA
200587,Silke,Meier,GER
200588,Renata,Baranski,POL
200589,Halle,Cioffi,USA
200590,Gisele,Miro,BRA
200591,Ronni,Reis,USA
200592,Sandrine,Jaquet,SUI
200593,Karine,Quentrec,FRA
200594,Iwona,Kuczynska,POL
200595,Ann,Wunderlich,USA
200596,Sabine,Krein Auer,GER
200597,Mary Joe,Fernandez,USA
200598,Jeri,Ingram,USA
200599,Carrie,Cunningham,USA
200600,Simone,Schilder,NED
200601,Leila,Meskhi,GEO
200602,Shaun,Stafford,USA
200603,Justine,Hodder,AUS
200604,Barbara,Paulus,AUT
200605,Regina,Rajchrtova,TCH
200606,Nana,Smith,JPN
200607,Beate,Reinstadler,AUT
200608,Audra,Keller,USA
200609,Steffi,Menning,GER
200610,Stacey,Martin,USA
200611,Tracey,Morton Rodgers,AUS
200612,Natalia,Medvedeva,UKR
200613,Lise,Gregory,RSA
200614,Elena,Pampoulova,BUL
200615,Kristin,Godridge,HKG
200616,Pascale,Etchemendy,FRA
200617,Kimiko,Date Krumm,JPN
200618,Eva Maria,Schurhoff,GER
200619,Kate,Mcdonald,AUS
200620,Kirrily,Sharpe,AUS
200621,Isabelle,Demongeot,FRA
200622,Maya,Kidowaki,JPN
200623,Petra,Thoren,FIN
200624,Tami,Whitlinger Jones,USA
200625,Jana,Pospisilova,CZE
200626,Emanuela,Zardo,SUI
200627,Petra,Schwarz,AUT
200628,Sabrina,Goles,YUG
200629,Cristina,Tessi,ARG
200630,Laura,Gildemeister,PER
200631,Maria,Ekstrand,SWE
200632,Andrea,Strnadova,CZE
200633,Stacey,Schefflin,USA
200634,Elena,Brioukhovets,UKR
200635,Ingelise,Driehuis,NED
200636,Danielle,Jones,AUS
200637,Catherine,Barclay,AUS
200638,Stephanie,Rottier,NED
200639,Claudine,Toleafoa,NZL
200640,Mercedes,Paz,ARG
200641,Patricia,Tarabini,ARG
200642,Denisa,Szabova,SVK
200643,Petra,Kamstra,NED
200644,Naoko,Sawamatsu,JPN
200645,Maja,Zivec Skulj,GER
200646,Francesca,Romano,ITA
200647,Noelle,Van Lottum,FRA
200648,Marketa,Kochta,GER
200649,Ginger,Helgeson Nielsen,USA
200650,Isabel,Cueto,GER
200651,Sabine,Hack,GER
200652,Monica,Seles,USA
200653,Yayuk,Basuki,INA
200654,Patty,Oreilly,USA
200655,Nicole,Arendt,USA
200656,Jessica,Emmons,USA
200657,Radka,Bobkova,CZE
200658,Fang,Li,CHN
200659,Rika,Hiraki,JPN
200660,Kimberly,Po Messerli,USA
200661,Samantha,Smith,GBR
200662,Joanne,Limmer,AUS
200663,Nanne,Dahlman,FIN
200664,Stephanie,Rehe,USA
200665,Yone,Kamio,JPN
200666,Marion,Maruska,AUT
200667,Ines,Gorrochategui,ARG
200668,Silke,Frankl,GER
200669,Debbie,Graham,USA
200670,Nathalie,Housset Gilbert,FRA
200671,Meike,Babel,GER
200672,Barbara,Mulej,SLO
200673,Susan,Sloane Lundy,USA
200674,Bettina,Fulco Villella,ARG
200675,Eugenia,Maniokova,RUS
200676,Mana,Endo,JPN
200677,Katja,Oeljeklaus,GER
200678,Gloria,Pizzichini,ITA
200679,Caroline,Kuhlman,USA
200680,Nadin,Ercegovic,CRO
200681,Natalia,Baudone Furlan,ITA
200682,Joannette,Kruger,RSA
